"SA1_CODE_2021","district","proportion_in_district"
20101100101,Wendouree,1
20101100102,Wendouree,1
20101100105,Wendouree,1
20101100106,Wendouree,1
20101100107,Wendouree,1
20101100108,Wendouree,1
20101100109,Wendouree,1
20101100110,Wendouree,1
20101100111,Wendouree,1
20101100112,Wendouree,1
20101100113,Wendouree,1
20101100114,Wendouree,1
20101100118,Wendouree,1
20101100119,Ripon,1
20101100120,Wendouree,1
20101100121,Wendouree,1
20101100124,Wendouree,1
20101100125,Ripon,1
20101100126,Wendouree,1
20101100127,Ripon,1
20101100128,Ripon,1
20101100129,Ripon,1
20101100130,Wendouree,1
20101100131,Ripon,1
20101100132,Wendouree,1
20101100133,Ripon,1
20101100134,Wendouree,0.0380693406
20101100134,Ripon,0.9619306594
20101100135,Ripon,1
20101100136,Wendouree,1
20101100137,Wendouree,1
20101100138,Wendouree,1
20101100139,Ripon,1
20101100140,Wendouree,1
20101100141,Ripon,1
20101100142,Ripon,1
20101100201,Wendouree,1
20101100202,Wendouree,1
20101100203,Wendouree,1
20101100204,Wendouree,1
20101100205,Wendouree,1
20101100206,Wendouree,1
20101100207,Wendouree,1
20101100208,Wendouree,1
20101100209,Wendouree,1
20101100210,Wendouree,1
20101100211,Wendouree,1
20101100212,Wendouree,1
20101100213,Wendouree,1
20101100214,Wendouree,1
20101100215,Wendouree,1
20101100216,Wendouree,1
20101100217,Wendouree,1
20101100218,Wendouree,1
20101100219,Wendouree,1
20101100220,Wendouree,1
20101100221,Wendouree,1
20101100222,Wendouree,1
20101100223,Wendouree,1
20101100224,Wendouree,1
20101100225,Wendouree,1
20101100226,Wendouree,1
20101100227,Wendouree,1
20101100228,Wendouree,1
20101100229,Wendouree,1
20101100230,Wendouree,1
20101100231,Wendouree,1
20101100232,Wendouree,1
20101100233,Wendouree,1
20101100234,Eureka,1
20101100501,Eureka,1
20101100502,Eureka,1
20101100504,Eureka,1
20101100505,Eureka,1
20101100506,Eureka,1
20101100507,Eureka,1
20101100508,Eureka,1
20101100509,Eureka,1
20101100510,Eureka,1
20101100511,Eureka,1
20101100512,Eureka,1
20101100513,Eureka,1
20101100514,Eureka,1
20101100515,Eureka,1
20101100516,Eureka,1
20101100517,Eureka,1
20101100518,Eureka,1
20101100519,Eureka,1
20101100601,Wendouree,1
20101100602,Wendouree,1
20101100603,Wendouree,1
20101100604,Wendouree,1
20101100607,Ripon,1
20101100610,Wendouree,1
20101100611,Wendouree,1
20101100612,Wendouree,1
20101100613,Wendouree,1
20101100614,Wendouree,1
20101100615,Wendouree,1
20101100616,Wendouree,1
20101100618,Wendouree,1
20101100619,Ripon,1
20101100620,Wendouree,1
20101100621,Wendouree,1
20101100622,Wendouree,1
20101100623,Wendouree,1
20101100624,Wendouree,1
20101100625,Wendouree,0.1393157735
20101100625,Ripon,0.8606842265
20101100626,Wendouree,1
20101100627,Wendouree,1
20101100628,Wendouree,1
20101100629,Wendouree,1
20101100630,Wendouree,1
20101100631,Wendouree,1
20101100701,Ripon,1
20101100702,Ripon,1
20101100703,Ripon,1
20101100704,Ripon,1
20101100705,Ripon,1
20101100706,Ripon,1
20101100707,Ripon,1
20101100708,Ripon,1
20101100709,Ripon,1
20101100801,Wendouree,1
20101100804,Wendouree,1
20101100805,Wendouree,1
20101100806,Wendouree,1
20101100807,Wendouree,1
20101100808,Wendouree,1
20101100809,Wendouree,1
20101100810,Wendouree,0.9644001424
20101100810,Ripon,0.0355998576
20101100811,Wendouree,0.9767814251
20101100811,Ripon,0.0232185749
20101100812,Wendouree,1
20101100813,Wendouree,1
20101100814,Wendouree,1
20101100815,Wendouree,1
20101100816,Ripon,1
20101100818,Ripon,1
20101100820,Wendouree,1
20101100821,Wendouree,1
20101100822,Wendouree,1
20101100823,Wendouree,1
20101100824,Wendouree,1
20101100825,Wendouree,1
20101100826,Wendouree,1
20101100827,Wendouree,1
20101100828,Wendouree,1
20101100829,Wendouree,1
20101100830,Wendouree,1
20101100831,Wendouree,1
20101100832,Wendouree,1
20101100833,Wendouree,1
20101100834,Wendouree,1
20101100835,Ripon,1
20101100836,Ripon,1
20101100837,Ripon,1
20101100838,Ripon,1
20101100839,Ripon,1
20101100840,Ripon,1
20101100841,Ripon,1
20101100842,Ripon,1
20101100843,Ripon,1
20101100844,Ripon,1
20101100845,Ripon,1
20101148101,Eureka,1
20101148102,Eureka,1
20101148103,Eureka,1
20101148104,Eureka,1
20101148105,Eureka,1
20101148106,Wendouree,0.0330612245
20101148106,Eureka,0.9669387755
20101148107,Eureka,1
20101148108,Eureka,1
20101148109,Wendouree,0.0363724539
20101148109,Eureka,0.9636275461
20101148110,Eureka,1
20101148111,Eureka,1
20101148112,Eureka,1
20101148113,Eureka,1
20101148114,Eureka,1
20101148115,Wendouree,0.0517768887
20101148115,Eureka,0.9482231113
20101148116,Wendouree,0.146039604
20101148116,Eureka,0.853960396
20101148117,Eureka,1
20101148118,Eureka,1
20101148119,Eureka,1
20101148120,Eureka,1
20101148121,Eureka,1
20101148122,Eureka,1
20101148201,Wendouree,1
20101148202,Wendouree,0.9586823004
20101148202,Ripon,0.0413176996
20101148203,Ripon,1
20101148204,Ripon,0.6834634293
20101148204,Eureka,0.3165365707
20101148205,Wendouree,1
20101148206,Wendouree,1
20101148207,Wendouree,1
20101148208,Wendouree,1
20101148209,Wendouree,1
20101148210,Wendouree,1
20101148211,Wendouree,1
20101148212,Wendouree,0.9754971591
20101148212,Ripon,0.0245028409
20101148213,Wendouree,1
20101148214,Wendouree,1
20101148215,Wendouree,1
20101148216,Wendouree,1
20101148217,Ripon,1
20101148218,Eureka,1
20101148219,Wendouree,0.9714673913
20101148219,Ripon,0.0285326087
20101148220,Wendouree,1
20101148221,Ripon,1
20101148222,Wendouree,1
20101148223,Wendouree,0.9385851257
20101148223,Ripon,0.0614148743
20101148224,Wendouree,1
20101148225,Eureka,1
20101148226,Wendouree,1
20101148227,Wendouree,1
20101148228,Wendouree,1
20101148229,Wendouree,0.9366001516
20101148229,Ripon,0.0633998484
20101148230,Wendouree,1
20101148301,Eureka,1
20101148302,Eureka,1
20101148303,Eureka,1
20101148304,Eureka,1
20101148305,Eureka,1
20101148306,Eureka,1
20101148307,Eureka,1
20101148308,Eureka,1
20101148309,Eureka,1
20101148310,Eureka,1
20101148311,Eureka,1
20101148312,Eureka,1
20101148313,Eureka,1
20101148314,Eureka,1
20101148315,Eureka,1
20101148316,Wendouree,0.0351678465
20101148316,Eureka,0.9648321535
20101148317,Eureka,1
20101148318,Eureka,1
20101148319,Eureka,1
20101148320,Eureka,1
20101148321,Wendouree,0.0460992908
20101148321,Eureka,0.9539007092
20101148322,Eureka,1
20101148323,Eureka,1
20101148324,Eureka,1
20101148325,Eureka,1
20101148326,Eureka,1
20101148401,Wendouree,1
20101148402,Wendouree,1
20101148403,Wendouree,1
20101148404,Wendouree,1
20101148405,Wendouree,1
20101148406,Wendouree,0.9711682103
20101148406,Eureka,0.0288317897
20101148407,Wendouree,1
20101148408,Wendouree,1
20101148409,Wendouree,0.9618805591
20101148409,Eureka,0.0381194409
20101148410,Wendouree,1
20101148411,Wendouree,1
20101148412,Wendouree,1
20101148413,Wendouree,0.9352782071
20101148413,Eureka,0.0647217929
20101148414,Wendouree,1
20101148415,Wendouree,1
20101148416,Wendouree,1
20101148417,Wendouree,1
20101148418,Wendouree,1
20101148419,Wendouree,0.978264084
20101148419,Eureka,0.021735916
20101148420,Wendouree,1
20101148421,Wendouree,1
20101148422,Wendouree,1
20101148423,Wendouree,1
20101148424,Wendouree,1
20101148425,Wendouree,1
20101148426,Wendouree,1
20101148427,Wendouree,1
20101148428,Wendouree,1
20102100901,Eureka,1
20102100902,Eureka,1
20102100903,Macedon,1
20102100904,Eureka,1
20102100905,Macedon,1
20102100906,Eureka,1
20102100907,Macedon,0.5895083482
20102100907,Eureka,0.4104916518
20102100908,Eureka,1
20102100909,Eureka,1
20102100910,Eureka,1
20102100911,Eureka,1
20102100912,Eureka,1
20102100913,Eureka,1
20102100914,Eureka,1
20102100915,Eureka,1
20102100916,Eureka,1
20102100917,Eureka,1
20102101001,Ripon,1
20102101002,Ripon,1
20102101003,Ripon,1
20102101004,Ripon,1
20102101005,Ripon,1
20102101006,Ripon,1
20102101007,Ripon,0.9093519847
20102101007,Eureka,0.0906480153
20102101008,Ripon,1
20102101009,Ripon,1
20102101010,Ripon,1
20102101011,Ripon,1
20102101012,Ripon,1
20102101013,Ripon,1
20102101014,Ripon,1
20102101015,Ripon,1
20102101016,Ripon,1
20102101017,Ripon,1
20102101018,Ripon,1
20102101021,Ripon,1
20102101022,Ripon,1
20102101023,Ripon,1
20102101024,Ripon,1
20102101025,Ripon,1
20102101101,Macedon,1
20102101102,Ripon,1
20102101103,Ripon,1
20102101104,Macedon,1
20102101105,Macedon,1
20102101106,Macedon,1
20102101107,Macedon,1
20102101108,Macedon,1
20102101109,Macedon,1
20102101110,Macedon,1
20102101111,Macedon,1
20102101112,Macedon,1
20102101113,Macedon,1
20102101114,Macedon,1
20102101115,Macedon,1
20102101116,Macedon,1
20102101117,Macedon,1
20102101118,Macedon,1
20102101119,Macedon,1
20102101120,Macedon,0.5643299244
20102101120,Ripon,0.4356700756
20102101121,Macedon,1
20102101122,Macedon,1
20102101123,Macedon,1
20102101124,Macedon,1
20102101125,Macedon,1
20102101201,Eureka,1
20102101202,Eureka,1
20102101203,Eureka,1
20102101204,Eureka,1
20102101205,Eureka,1
20102101206,Eureka,1
20102101207,Eureka,1
20102101208,Eureka,1
20102101209,Eureka,1
20102101210,Eureka,1
20102101211,Ripon,0.1666223496
20102101211,Eureka,0.8333776504
20102101212,Eureka,1
20102101213,Eureka,1
20102101214,Eureka,1
20102101215,Eureka,1
20102101216,Eureka,1
20102101217,Eureka,1
20103101301,Ripon,1
20103101302,Ripon,1
20103101303,Ripon,1
20103101304,Ripon,1
20103101305,Ripon,1
20103101306,Ripon,1
20103101307,Ripon,1
20103101308,Ripon,1
20103101309,Ripon,1
20103101310,Ripon,1
20103101401,Ripon,1
20103101402,Ripon,1
20103101403,Ripon,1
20103101404,Ripon,1
20103101405,Ripon,1
20103101406,Ripon,1
20103101407,Ripon,1
20103101408,Ripon,1
20103101409,Ripon,1
20103101410,Ripon,1
20103101411,Ripon,1
20103101412,Ripon,1
20103101413,Ripon,1
20103101501,Ripon,1
20103101502,Ripon,0.0279535342
20103101502,Eureka,0.9720464658
20103101503,Ripon,1
20103101504,Ripon,1
20103101505,Eureka,1
20103101506,Ripon,1
20103101507,Ripon,1
20103101508,Ripon,1
20103101509,Eureka,1
20103101510,Eureka,1
20103101511,Ripon,1
20103101512,Ripon,1
20103101601,Ripon,1
20103101602,Ripon,1
20103101603,Ripon,1
20103101604,Ripon,1
20103101605,Ripon,1
20103101606,Ripon,1
20103101607,Ripon,1
20103101608,Ripon,1
20103101609,Ripon,1
20103101610,Ripon,1
20103101612,Ripon,1
20103101613,Ripon,1
20103101614,Ripon,1
20103101615,Ripon,1
20103101616,Ripon,1
20103101617,Ripon,1
20103101618,Ripon,1
20103101619,Ripon,1
20103101620,Ripon,1
20103101621,Ripon,1
20103101622,Ripon,1
20103101623,Ripon,1
20103101701,Ripon,1
20103101702,Ripon,1
20103101703,Ripon,1
20103101704,Ripon,1
20103101705,Ripon,1
20103101706,Ripon,1
20103101707,Ripon,1
20103101708,Ripon,1
20103101709,Ripon,1
20103101710,Ripon,1
20103101711,Bendigo West,0.1169748281
20103101711,Ripon,0.8830251719
20103101712,Ripon,1
20103101713,Ripon,1
20103101714,Ripon,1
20103101715,Ripon,1
20201101801,Bendigo West,1
20201101802,Bendigo East,1
20201101803,Bendigo East,0.4362536102
20201101803,Bendigo West,0.5637463898
20201101804,Bendigo East,1
20201101806,Bendigo West,1
20201101807,Bendigo West,1
20201101808,Bendigo West,1
20201101809,Bendigo West,1
20201101810,Bendigo West,1
20201101811,Bendigo West,1
20201101812,Bendigo West,1
20201101813,Bendigo East,0.0261324042
20201101813,Bendigo West,0.9738675958
20201101814,Bendigo West,1
20201101815,Bendigo West,1
20201101816,Bendigo West,1
20201101817,Bendigo West,1
20201101818,Bendigo West,1
20201101819,Bendigo West,1
20201101820,Bendigo West,1
20201101821,Bendigo West,1
20201101822,Bendigo West,1
20201101823,Bendigo West,1
20201101824,Bendigo West,1
20201101825,Bendigo West,1
20201101826,Bendigo West,1
20201101827,Bendigo West,1
20201101828,Bendigo West,1
20201101829,Bendigo West,1
20201101830,Bendigo West,1
20201101831,Bendigo West,1
20201101832,Bendigo West,1
20201101833,Bendigo West,1
20201101834,Bendigo East,1
20201101835,Bendigo West,1
20201101836,Bendigo West,1
20201101837,Bendigo East,1
20201101838,Bendigo West,1
20201101839,Bendigo East,0.9360530456
20201101839,Bendigo West,0.0639469544
20201101903,Bendigo East,1
20201101904,Bendigo East,1
20201101905,Bendigo East,1
20201101906,Bendigo East,1
20201101908,Bendigo East,1
20201101909,Bendigo East,1
20201101910,Bendigo East,1
20201101911,Bendigo East,1
20201101913,Bendigo West,1
20201101914,Bendigo East,0.9750720705
20201101914,Bendigo West,0.0249279295
20201101915,Bendigo West,1
20201101916,Bendigo West,1
20201101917,Bendigo East,0.0350162866
20201101917,Bendigo West,0.9649837134
20201101918,Bendigo East,1
20201101919,Bendigo East,0.8653165492
20201101919,Bendigo West,0.1346834508
20201101921,Bendigo East,1
20201101922,Bendigo West,1
20201101923,Bendigo West,1
20201101924,Bendigo East,1
20201101925,Bendigo East,1
20201101926,Bendigo East,1
20201101927,Bendigo East,1
20201101928,Bendigo East,1
20201101929,Bendigo East,1
20201101930,Bendigo East,1
20201101931,Bendigo East,1
20201101932,Bendigo East,1
20201101933,Bendigo West,1
20201102001,Bendigo East,1
20201102002,Bendigo East,1
20201102003,Bendigo East,1
20201102004,Bendigo East,1
20201102005,Bendigo East,1
20201102006,Bendigo East,1
20201102007,Bendigo East,1
20201102008,Bendigo East,1
20201102009,Bendigo East,1
20201102010,Bendigo East,1
20201102011,Bendigo East,1
20201102012,Bendigo East,1
20201102013,Bendigo East,1
20201102014,Bendigo East,1
20201102015,Bendigo East,1
20201102016,Bendigo East,1
20201102017,Bendigo East,1
20201102018,Bendigo East,1
20201102019,Bendigo East,1
20201102020,Bendigo East,1
20201102021,Bendigo East,1
20201102022,Bendigo East,1
20201102023,Bendigo East,1
20201102024,Bendigo East,1
20201102025,Bendigo East,1
20201102026,Bendigo East,1
20201102027,Bendigo East,1
20201102028,Bendigo East,1
20201102029,Bendigo East,1
20201102030,Bendigo East,1
20201102031,Bendigo East,1
20201102032,Bendigo East,1
20201102033,Bendigo East,1
20201102034,Bendigo East,1
20201102035,Bendigo East,1
20201102036,Bendigo East,1
20201102037,Bendigo East,1
20201102038,Bendigo East,1
20201102039,Bendigo East,1
20201102101,Bendigo East,1
20201102102,Bendigo East,1
20201102103,Bendigo East,1
20201102104,Bendigo East,1
20201102105,Bendigo East,1
20201102106,Bendigo East,1
20201102107,Bendigo East,1
20201102108,Bendigo East,1
20201102109,Bendigo East,1
20201102110,Bendigo East,1
20201102111,Bendigo East,1
20201102112,Bendigo East,1
20201102113,Bendigo East,1
20201102114,Bendigo East,1
20201102115,Bendigo East,1
20201102116,Bendigo East,1
20201102117,Bendigo East,1
20201102118,Bendigo East,1
20201102119,Bendigo East,1
20201102120,Bendigo East,1
20201102121,Bendigo East,1
20201102122,Bendigo East,1
20201102123,Bendigo East,1
20201102124,Bendigo East,1
20201102125,Bendigo East,1
20201102126,Bendigo East,1
20201102127,Bendigo East,1
20201102201,Bendigo West,1
20201102202,Bendigo West,1
20201102203,Bendigo West,1
20201102204,Bendigo East,0.3116679718
20201102204,Bendigo West,0.6883320282
20201102205,Bendigo West,1
20201102206,Bendigo West,1
20201102208,Bendigo West,1
20201102209,Bendigo West,1
20201102210,Bendigo West,1
20201102211,Bendigo East,0.0918752143
20201102211,Bendigo West,0.9081247857
20201102212,Bendigo West,1
20201102213,Bendigo West,1
20201102214,Bendigo West,1
20201102215,Bendigo West,1
20201102216,Bendigo West,1
20201102217,Bendigo West,1
20201102218,Bendigo West,1
20201102219,Bendigo East,0.0564309271
20201102219,Bendigo West,0.9435690729
20201102220,Bendigo East,0.0255681818
20201102220,Bendigo West,0.9744318182
20201102221,Bendigo West,1
20201102222,Bendigo West,1
20201102223,Bendigo West,1
20201102224,Bendigo West,1
20201102225,Bendigo West,1
20201102226,Bendigo West,1
20201102227,Bendigo West,1
20201102228,Bendigo West,1
20201102229,Bendigo West,1
20201102230,Bendigo West,1
20201102231,Bendigo West,1
20201102232,Bendigo West,1
20201102233,Bendigo West,1
20201102234,Bendigo East,1
20201102235,Bendigo East,1
20201102236,Bendigo West,1
20201102237,Bendigo West,1
20201102238,Bendigo West,1
20201102239,Bendigo West,1
20201102240,Bendigo East,1
20201102241,Bendigo East,1
20201102242,Bendigo West,1
20201102243,Bendigo West,1
20201102244,Bendigo West,1
20201102245,Bendigo West,1
20201102301,Bendigo West,1
20201102302,Bendigo West,1
20201102305,Bendigo West,1
20201102306,Bendigo West,1
20201102307,Bendigo West,1
20201102308,Bendigo West,1
20201102309,Bendigo West,1
20201102310,Bendigo West,1
20201102311,Bendigo West,1
20201102312,Bendigo West,1
20201102402,Bendigo East,1
20201102403,Bendigo East,1
20201102405,Bendigo East,1
20201102407,Bendigo East,1
20201102408,Bendigo East,1
20201102409,Bendigo East,1
20201102410,Bendigo East,1
20201102411,Bendigo East,1
20201102412,Bendigo East,1
20201102413,Bendigo East,1
20201102415,Bendigo East,1
20201102417,Bendigo East,1
20201102418,Bendigo East,1
20201102419,Bendigo East,1
20201102421,Bendigo East,1
20201102422,Bendigo East,1
20201102423,Bendigo East,1
20201102424,Bendigo East,1
20201102425,Bendigo East,1
20201102426,Bendigo East,1
20201102427,Bendigo East,1
20201102428,Bendigo East,1
20201102501,Bendigo East,1
20201102502,Bendigo East,1
20201102503,Bendigo East,1
20201102504,Bendigo East,1
20201102505,Bendigo East,1
20201102506,Bendigo East,1
20201102507,Bendigo East,1
20201102509,Bendigo East,1
20201102510,Bendigo East,1
20201102511,Bendigo East,1
20201102512,Bendigo East,1
20201102514,Bendigo East,1
20201102515,Bendigo East,1
20201102517,Bendigo East,1
20201102519,Bendigo East,1
20201102520,Bendigo East,1
20201102521,Bendigo East,1
20201102522,Bendigo East,1
20201102523,Bendigo East,1
20201102524,Bendigo East,1
20201102525,Bendigo East,1
20201102526,Bendigo East,1
20201102527,Bendigo East,1
20201102528,Bendigo East,1
20201102529,Bendigo East,1
20201102530,Bendigo East,1
20201102531,Bendigo East,1
20201102532,Bendigo East,1
20201102533,Bendigo East,1
20202102601,Bendigo East,1
20202102602,Bendigo East,1
20202102603,Bendigo East,1
20202102604,Bendigo East,0.2750377964
20202102604,Bendigo West,0.7249622036
20202102605,Bendigo East,1
20202102606,Bendigo West,0.6128551911
20202102606,Ripon,0.3871448089
20202102607,Bendigo West,1
20202102608,Bendigo West,1
20202102609,Bendigo West,1
20202102610,Bendigo West,1
20202102611,Bendigo West,1
20202102612,Bendigo West,1
20202102613,Bendigo West,1
20202102614,Bendigo East,1
20202102615,Bendigo West,1
20202102616,Bendigo East,1
20202102617,Macedon,0.1591420782
20202102617,Bendigo East,0.522933298
20202102617,Euroa,0.3179246238
20202102618,Bendigo East,0.9616134567
20202102618,Euroa,0.0383865433
20202102619,Bendigo East,1
20202102701,Bendigo West,1
20202102702,Bendigo West,1
20202102703,Bendigo West,1
20202102704,Bendigo West,1
20202102705,Bendigo West,1
20202102706,Bendigo West,1
20202102707,Bendigo West,1
20202102708,Bendigo West,1
20202102709,Bendigo West,1
20202102710,Bendigo West,1
20202102711,Bendigo West,1
20202102712,Bendigo West,1
20202102713,Bendigo West,1
20202102714,Bendigo West,1
20202102715,Bendigo West,1
20202102716,Bendigo West,1
20202102717,Bendigo West,1
20202102718,Bendigo West,1
20202102719,Bendigo West,1
20202102720,Bendigo West,1
20202102721,Bendigo West,1
20202102722,Bendigo West,1
20202102723,Bendigo West,1
20202102724,Bendigo West,1
20202102725,Bendigo West,1
20202102726,Bendigo West,1
20202102727,Bendigo West,1
20202102801,Bendigo West,1
20202102802,Bendigo West,1
20202102803,Bendigo West,1
20202102804,Bendigo West,1
20202102805,Macedon,1
20202102806,Macedon,0.6760286531
20202102806,Euroa,0.3239713469
20202102807,Bendigo East,0.4462221717
20202102807,Bendigo West,0.5537778283
20202102808,Bendigo West,1
20202102809,Bendigo West,1
20202102810,Bendigo West,1
20202102811,Bendigo West,0.831371512
20202102811,Ripon,0.168628488
20202102812,Bendigo West,0.817054672
20202102812,Ripon,0.182945328
20202102813,Bendigo West,1
20202102814,Macedon,1
20202102815,Macedon,1
20202102816,Macedon,1
20202102817,Bendigo West,1
20202102818,Bendigo West,1
20202102819,Bendigo West,1
20202102820,Bendigo West,1
