"POSTCODE","DISTRICT","area_sqkm","proportion_in_district"
"3335","Sydenham","42.351","0.650383156"
"3413","Lowan","977.196","1"
"3488","Mildura","307.806","1"
"3148","Oakleigh","0.992","0.316831683"
"3148","Ashwood","2.139","0.683168317"
"3143","Prahran","0.049","0.023080546"
"3143","Malvern","2.074","0.976919454"
"3141","Prahran","3.567","1"
"3531","Mildura","349.853","1"
"3189","Sandringham","0.141","0.030765874"
"3189","Bentleigh","4.349","0.948941741"
"3189","Brighton","0.093","0.020292385"
"3922","Bass","70.545","1"
"3113","Warrandyte","26.643","1"
"3890","Gippsland East","1716.819","1"
"3212","Lara","195.529","1"
"3012","Footscray","7.665","0.501013138"
"3012","Williamstown","2.149","0.140466697"
"3012","Laverton","5.485","0.358520165"
"3814","Narracan","77.699","1"
"3469","Ripon","229.282","1"
"3230","Polwarth","97.001","1"
"3873","Gippsland South","93.25","1"
"3441","Macedon","34.564","1"
"3060","Broadmeadows","5.293","1"
"3434","Macedon","164.124","1"
"3111","Warrandyte","11.066","0.944036854"
"3111","Ringwood","0.656","0.055963146"
"3672","Euroa","315.312","1"
"3522","Euroa","192.27","1"
"3179","Rowville","8.838","1"
"3342","Eureka","446.771","1"
"3440","Macedon","39.095","1"
"3444","Euroa","280.071","0.301873838"
"3444","Macedon","647.704","0.698126162"
"3317","Lowan","383.651","1"
"3274","South-West Coast","83.628","0.299228207"
"3274","Lowan","195.851","0.700771793"
"3280","South-West Coast","77.085","1"
"3011","Footscray","5.927","1"
"3707","Benambra","1876.539","0.838163074"
"3707","Gippsland East","362.332","0.161836926"
"3561","Murray Plains","638.125","1"
"3912","Bass","31.213","0.433875452"
"3912","Hastings","40.727","0.566124548"
"3024","Melton","18.756","0.133980042"
"3024","Kororoit","19.561","0.139730411"
"3024","Werribee","77.672","0.554835668"
"3024","Tarneit","24.002","0.171453879"
"3202","Clarinda","6.951","1"
"3559","Euroa","468.874","0.869226848"
"3559","Bendigo East","70.541","0.130773152"
"3056","Brunswick","4.973","1"
"3166","Oakleigh","8.341","1"
"3025","Williamstown","14.039","1"
"3733","Ovens Valley","58.137","1"
"3084","Ivanhoe","13.089","1"
"3072","Preston","7.862","0.686038394"
"3072","Northcote","3.598","0.313961606"
"3381","Lowan","737.691","1"
"3314","Lowan","1385.024","1"
"3666","Euroa","1362.09","1"
"3387","Lowan","176.873","0.194373196"
"3387","Ripon","733.093","0.805626804"
"3842","Morwell","21.183","1"
"3943","Nepean","7.063","1"
"3607","Euroa","81.515","1"
"3608","Euroa","539.168","1"
"3379","Lowan","1370.214","1"
"3384","Lowan","228.951","0.357693461"
"3384","Ripon","411.125","0.642306539"
"3173","Clarinda","2.042","0.093807424"
"3173","Dandenong","5.174","0.23768835"
"3173","Mordialloc","14.552","0.668504226"
"3663","Euroa","67.9","1"
"3809","Pakenham","47.912","1"
"3477","Ripon","1968.523","1"
"3374","Lowan","138.066","0.892706582"
"3374","Ripon","16.594","0.107293418"
"3380","Lowan","92.418","1"
"3529","Mildura","291.508","1"
"3103","Kew","5.231","1"
"3453","Bendigo West","128.387","0.710415502"
"3453","Bendigo East","52.334","0.289584498"
"3207","Albert Park","10.063","1"
"3181","Prahran","2.9","1"
"3185","Caulfield","3.133","1"
"3395","Lowan","177.385","0.191803855"
"3395","Mildura","747.44","0.808196145"
"3064","Kalkallo","92.078","0.716973199"
"3064","Yan Yean","24.53","0.191004937"
"3064","Greenvale","11.818","0.092021865"
"3355","Wendouree","10.746","0.353556623"
"3355","Ripon","19.648","0.646443377"
"3918","Hastings","17.135","1"
"3428","Kalkallo","1.33","0.037988061"
"3428","Sunbury","33.681","0.962011939"
"3281","South-West Coast","160.239","1"
"3043","Niddrie","2.081","0.16812086"
"3043","Sunbury","10.297","0.83187914"
"3303","South-West Coast","373.937","0.777520871"
"3303","Lowan","106.998","0.222479129"
"3432","Macedon","27.653","1"
"3099","Eildon","96.97","1"
"3741","Ovens Valley","756.722","1"
"3101","Kew","10.507","1"
"3568","Murray Plains","514.353","1"
"3933","Hastings","2.981","0.06938044"
"3933","Mornington","39.985","0.93061956"
"3328","Eureka","60.797","1"
"3639","Shepparton","499.97","1"
"3864","Gippsland East","170.498","1"
"3013","Footscray","3.891","0.685155837"
"3013","Williamstown","1.788","0.314844163"
"3637","Shepparton","229.022","1"
"3357","Eureka","26.047","1"
"3057","Brunswick","2.212","1"
"3104","Kew","9.05","1"
"3121","Richmond","6.206","1"
"3087","Bundoora","3.744","1"
"3714","Eildon","620.116","1"
"3719","Eildon","236.087","1"
"3712","Eildon","327.414","1"
"3822","Narracan","62.867","1"
"3815","Narracan","103.86","1"
"3715","Eildon","232.376","1"
"3272","Lowan","682.083","1"
"3268","South-West Coast","177.397","0.303163446"
"3268","Polwarth","407.756","0.696836554"
"3325","Polwarth","570.961","1"
"3237","Polwarth","377.936","1"
"3269","Polwarth","201.177","1"
"3271","Lowan","382.337","0.899735024"
"3271","Polwarth","42.607","0.100264976"
"3720","Eildon","192.942","1"
"3008","Albert Park","0.476","0.181540809"
"3008","Melbourne","2.146","0.818459191"
"3711","Eildon","61.049","1"
"3718","Eildon","88.883","1"
"3821","Narracan","298.669","1"
"3761","Eildon","39.65","1"
"3251","Polwarth","301.918","1"
"3820","Narracan","73.699","1"
"3239","Polwarth","388.653","1"
"3960","Gippsland South","825.51","1"
"3953","Narracan","10.544","0.020859959"
"3953","Gippsland South","494.922","0.979140041"
"3945","Bass","90.134","0.589030264"
"3945","Gippsland South","62.887","0.410969736"
"3823","Narracan","128.511","1"
"3026","Kororoit","5.187","0.184308709"
"3026","Laverton","22.956","0.815691291"
"3175","Dandenong","42.839","0.591649863"
"3175","Carrum","20.449","0.282421346"
"3175","Mordialloc","9.118","0.12592879"
"3818","Narracan","279.436","1"
"3003","Melbourne","6.697","1"
"3870","Gippsland South","282.405","1"
"3356","Wendouree","13.875","1"
"3831","Narracan","176.454","1"
"3186","Brighton","8.561","1"
"3358","Wendouree","5.379","1"
"3350","Eureka","47.416","0.517472444"
"3350","Wendouree","30.779","0.335905271"
"3350","Ripon","13.435","0.146622285"
"3840","Morwell","274.015","0.799418265"
"3840","Gippsland South","68.753","0.200581735"
"3964","Gippsland South","3.173","0.974807988"
"3996","Bass","93.6","0.603193834"
"3996","Gippsland South","61.574","0.396806166"
"3370","Ripon","270.608","1"
"3856","Narracan","64.591","0.43415808"
"3856","Gippsland South","84.182","0.56584192"
"3585","Murray Plains","1082.19","1"
"3591","Murray Plains","19.871","1"
"3549","Mildura","979.461","1"
"3460","Macedon","42.366","1"
"3967","Gippsland South","116.965","1"
"3854","Narracan","7.037","0.040812421"
"3854","Morwell","84.425","0.489638853"
"3854","Gippsland South","80.961","0.469548726"
"3971","Gippsland South","977.293","1"
"3832","Narracan","52.557","1"
"3981","Bass","186.515","0.936974093"
"3981","Narracan","12.546","0.063025907"
"3816","Narracan","153.02","1"
"3857","Gippsland East","5.362","0.080053747"
"3857","Gippsland South","61.618","0.919946253"
"3361","Lowan","11.948","0.025077186"
"3361","Ripon","358.856","0.753188694"
"3361","Polwarth","105.645","0.221734121"
"3270","South-West Coast","18.026","0.450830332"
"3270","Polwarth","21.958","0.549169668"
"3322","Eureka","44.704","0.386552297"
"3322","Polwarth","70.944","0.613447703"
"3046","Broadmeadows","14.053","1"
"3267","Polwarth","93.651","1"
"3360","Eureka","136.369","0.471662678"
"3360","Ripon","152.755","0.528337322"
"3249","Polwarth","1241.151","1"
"3264","South-West Coast","119.134","1"
"3323","Eureka","8.993","0.041838999"
"3323","Polwarth","205.95","0.958161001"
"3324","Polwarth","385.408","1"
"3265","South-West Coast","525.416","0.587833317"
"3265","Lowan","180.537","0.201984073"
"3265","Polwarth","187.865","0.21018261"
"3260","Polwarth","1032.079","1"
"3266","Polwarth","562.73","1"
"3951","Bass","21.198","0.125580569"
"3951","Gippsland South","147.602","0.874419431"
"3959","Gippsland South","193.088","1"
"3965","Gippsland South","16.019","1"
"3957","Gippsland South","65.047","1"
"3858","Eildon","81.475","0.031689757"
"3858","Gippsland East","2320.715","0.902643698"
"3858","Gippsland South","168.83","0.065666545"
"3859","Gippsland East","193.511","1"
"3862","Ovens Valley","501.438","0.162862076"
"3862","Gippsland East","2577.474","0.837137924"
"3847","Gippsland South","485.859","1"
"3312","Lowan","2961.653","1"
"3956","Gippsland South","469.736","1"
"3946","Gippsland South","40.243","1"
"3962","Gippsland South","151.771","1"
"3995","Bass","200.303","1"
"3958","Gippsland South","109.811","1"
"3984","Bass","234.043","1"
"3987","Bass","9.738","0.122219991"
"3987","Narracan","1.807","0.022679351"
"3987","Gippsland South","68.131","0.855100658"
"3835","Narracan","62.131","0.967591727"
"3835","Gippsland South","2.081","0.032408273"
"3988","Narracan","31.05","0.241841265"
"3988","Gippsland South","97.34","0.758158735"
"3197","Carrum","5.807","1"
"3028","Point Cook","11.931","0.75853519"
"3028","Laverton","3.798","0.24146481"
"3871","Narracan","20.62","0.072619697"
"3871","Gippsland South","263.325","0.927380303"
"3950","Narracan","4.57","0.036948402"
"3950","Gippsland South","119.116","0.963051598"
"3201","Carrum","20.218","1"
"3954","Gippsland South","38.117","1"
"3315","Lowan","1331.053","1"
"3824","Narracan","208.758","0.972582381"
"3824","Morwell","5.885","0.027417619"
"3874","Gippsland South","283.643","1"
"3850","Gippsland South","55.689","1"
"3851","Gippsland East","151.987","0.081003787"
"3851","Gippsland South","1724.308","0.918996213"
"3844","Morwell","346.295","0.613034111"
"3844","Gippsland South","218.592","0.386965889"
"3860","Gippsland East","1399.75","1"
"3225","","26.538","0.44029665"
"3964","","0.082","0.025192012"
