"POSTCODE","DISTRICT","area_sqkm","proportion_in_district"
"3482","Lowan","45.43","0.080694151"
"3482","Mildura","517.56","0.919305849"
"3238","Polwarth","235.423","1"
"3566","Murray Plains","131.548","1"
"3177","Dandenong","5.111","1"
"3304","South-West Coast","1141.846","0.578954841"
"3304","Lowan","830.408","0.421045159"
"3419","Lowan","1043.224","1"
"3371","Ripon","314.727","1"
"3184","Brighton","2.561","1"
"3029","Kororoit","38.245","0.317638949"
"3029","Laverton","29.95","0.248745889"
"3029","Tarneit","52.209","0.433615162"
"3078","Northcote","6.302","1"
"3450","Bendigo West","23.492","1"
"3911","Hastings","17.294","0.927441411"
"3911","Mornington","1.353","0.072558589"
"3448","Macedon","219.603","1"
"3066","Richmond","1.291","1"
"3074","Thomastown","14.673","1"
"3082","Mill Park","10.753","0.838898424"
"3082","Bundoora","2.065","0.161101576"
"3116","Warrandyte","13.456","0.602948425"
"3116","Evelyn","8.861","0.397051575"
"3155","Bayswater","10.859","0.964044744"
"3155","Monbulk","0.405","0.035955256"
"3804","Monbulk","9.436","0.299860175"
"3804","Narre Warren North","22.032","0.700139825"
"3584","Murray Plains","100.517","1"
"3562","Murray Plains","140.889","1"
"3293","Lowan","492.745","1"
"3130","Glen Waverley","0.453","0.037131148"
"3130","Box Hill","8.389","0.687622951"
"3130","Ringwood","3.358","0.275245902"
"3900","Gippsland East","1208.84","1"
"3699","Ovens Valley","286.345","0.560527671"
"3699","Gippsland East","224.504","0.439472329"
"3427","Sunbury","69.833","1"
"3170","Mulgrave","10.716","1"
"3126","Kew","1.309","0.414634146"
"3126","Hawthorn","1.848","0.585365854"
"3942","Nepean","6.228","1"
"3134","Warrandyte","13.844","0.623968991"
"3134","Ringwood","8.343","0.376031009"
"3109","Bulleen","3.276","0.299725526"
"3109","Warrandyte","7.654","0.700274474"
"3183","Prahran","0.628","0.207809398"
"3183","Caulfield","2.394","0.792190602"
"3491","Mildura","1144.226","1"
"3500","Mildura","77.449","1"
"3093","Eltham","6.818","1"
"3289","South-West Coast","150.214","0.263845782"
"3289","Lowan","419.111","0.736154218"
"3895","Gippsland East","275.704","1"
"3018","Point Cook","0.638","0.03649468"
"3018","Williamstown","16.844","0.96350532"
"3195","Mordialloc","24.41","1"
"3158","Monbulk","6.228","1"
"3779","Eildon","579.698","1"
"3723","Eildon","2852.67","0.927056912"
"3723","Ovens Valley","113.202","0.036788236"
"3723","Euroa","111.253","0.036154852"
"3138","Evelyn","10.271","0.828039342"
"3138","Croydon","2.133","0.171960658"
"3345","Eureka","45.76","1"
"3977","Bass","43.393","0.332952244"
"3977","Cranbourne","56.965","0.437089497"
"3977","Carrum","19.726","0.151356577"
"3977","Narre Warren South","10.244","0.078601682"
"3131","Glen Waverley","3.199","0.349885158"
"3131","Ringwood","5.944","0.650114842"
"3520","Ripon","100.026","1"
"3525","Mildura","715.856","0.670299748"
"3525","Ripon","163.551","0.153142803"
"3525","Murray Plains","188.557","0.17655745"
"3096","Eltham","8.981","1"
"3079","Ivanhoe","7.617","1"
"3152","Bayswater","10.576","0.472480343"
"3152","Rowville","11.808","0.527519657"
"3233","Polwarth","186.876","1"
"3340","Eureka","349.162","0.580272252"
"3340","Melton","64.173","0.106649095"
"3340","Macedon","71.542","0.118895634"
"3340","Lara","116.844","0.194183018"
"3144","Malvern","3.414","1"
"3331","Geelong","162.245","0.615795986"
"3331","Eureka","101.227","0.384204014"
"3211","Lara","113.603","0.626965424"
"3211","Werribee","67.592","0.373034576"
"3196","Carrum","2.809","0.264775191"
"3196","Mordialloc","7.8","0.735224809"
"3241","Polwarth","624.564","1"
"3396","Mildura","914.555","1"
"3232","Polwarth","104.751","1"
"3787","Monbulk","4.675","1"
"3222","Bellarine","146.391","1"
"3833","Eildon","83.006","0.089123911"
"3833","Narracan","848.349","0.910876089"
"3153","Bayswater","7.886","0.545555171"
"3153","Croydon","6.569","0.454444829"
"3778","Eildon","222.88","1"
"3781","Monbulk","42.288","1"
"3154","Bayswater","1.064","0.207447846"
"3154","Monbulk","4.065","0.792552154"
"3276","South-West Coast","335.386","1"
"3292","South-West Coast","225.108","1"
"3797","Eildon","141.62","1"
"3775","Eildon","173.114","1"
"3763","Eildon","112.706","1"
"3825","Narracan","1558.84","0.830765902"
"3825","Gippsland East","141.935","0.075642631"
"3825","Morwell","175.614","0.093591467"
"3783","Narracan","104.668","0.518741358"
"3783","Monbulk","97.105","0.481258642"
"3803","Narre Warren North","8.231","1"
"3992","Bass","95.886","1"
"3792","Monbulk","3.692","1"
"3770","Evelyn","135.215","1"
"3766","Evelyn","0.519","0.065896394"
"3766","Monbulk","7.357","0.934103606"
"3139","Eildon","173.399","0.729042023"
"3139","Evelyn","42.262","0.177687149"
"3139","Monbulk","22.184","0.093270828"
"3785","Monbulk","5.481","1"
"3429","Sunbury","173.164","1"
"3677","Ovens Valley","47.018","1"
"3813","Narracan","69.901","1"
"3310","Lowan","122.268","1"
"3378","Lowan","165.79","0.536230056"
"3378","Ripon","143.387","0.463769944"
"3341","Eureka","121.737","0.785253082"
"3341","Macedon","33.292","0.214746918"
"3286","South-West Coast","388.248","1"
"3020","St Albans","8.894","0.360314374"
"3020","Laverton","15.79","0.639685626"
