"SA1_CODE_2016","district","proportion_in_district"
2100902,Eureka,1
2100903,Macedon,1
2100904,Eureka,1
2100905,Macedon,1
2100906,Eureka,1
2100907,Eureka,0.4106
2100907,Macedon,0.5894
2100908,Eureka,1
2100909,Eureka,1
2100910,Eureka,1
2100911,Eureka,1
2100912,Eureka,1
2100913,Eureka,1
2100914,Eureka,1
2100915,Eureka,1
2100916,Eureka,1
2100917,Eureka,1
2101001,Ripon,1
2101002,Ripon,1
2101003,Ripon,1
2101004,Ripon,1
2101005,Ripon,1
2101006,Ripon,1
2101007,Eureka,0.0908
2101007,Ripon,0.9092
2101008,Ripon,1
2101009,Ripon,1
2101010,Ripon,1
2101011,Ripon,1
2101012,Ripon,1
2101013,Ripon,1
2101014,Ripon,1
2101015,Ripon,1
2101016,Ripon,1
2101017,Ripon,1
2101018,Ripon,1
2101021,Ripon,1
2101022,Ripon,1
2101023,Ripon,1
2101024,Ripon,1
2101025,Ripon,1
2101101,Macedon,1
2101102,Ripon,1
2101103,Ripon,1
2101104,Macedon,1
2101105,Macedon,1
2101106,Macedon,1
2101107,Macedon,1
2101108,Macedon,1
2101109,Macedon,1
2101110,Macedon,1
2101111,Macedon,1
2101112,Macedon,1
2101113,Macedon,1
2101114,Macedon,1
2101115,Macedon,1
2101116,Macedon,1
2101117,Macedon,1
2101118,Macedon,1
2101119,Macedon,1
2101120,Macedon,0.5643
2101120,Ripon,0.4357
2101121,Macedon,1
2101122,Macedon,1
2101123,Macedon,1
2101124,Macedon,1
2101125,Macedon,1
2101201,Eureka,1
2101202,Eureka,1
2101203,Eureka,1
2101204,Eureka,1
2101205,Eureka,1
2101206,Eureka,1
2101207,Eureka,1
2101208,Eureka,1
2101209,Eureka,1
2101210,Eureka,1
2101211,Eureka,0.8335
2101211,Ripon,0.1665
2101212,Eureka,1
2101213,Eureka,1
2101214,Eureka,1
2101215,Eureka,1
2101216,Eureka,1
2101217,Eureka,1
2101301,Ripon,1
2101302,Ripon,1
2101303,Ripon,1
2101304,Ripon,1
2101305,Ripon,1
2101306,Ripon,1
2101307,Ripon,1
2101308,Ripon,1
2101309,Ripon,1
2101310,Ripon,1
2101401,Ripon,1
2101402,Ripon,1
2101403,Ripon,1
2101404,Ripon,1
2101405,Ripon,1
2101406,Ripon,1
2101407,Ripon,1
2101408,Ripon,1
2101409,Ripon,1
2101410,Ripon,1
2101411,Ripon,1
2101412,Ripon,1
2101413,Ripon,1
2101501,Ripon,1
2101502,Eureka,0.9721
2101502,Ripon,0.0279
2101503,Ripon,1
2101504,Ripon,1
2101505,Eureka,1
2101506,Ripon,1
2101507,Ripon,1
2101508,Ripon,1
2101509,Eureka,1
2101510,Eureka,1
2101511,Ripon,1
2101512,Ripon,1
2101601,Ripon,1
2101602,Ripon,1
2101603,Ripon,1
2101604,Ripon,1
2101605,Ripon,1
2101606,Ripon,1
2101607,Ripon,1
2101608,Ripon,1
2101609,Ripon,1
2101610,Ripon,1
2101611,Ripon,1
2101612,Ripon,1
2101613,Ripon,1
2101614,Ripon,1
2101615,Ripon,1
2101616,Ripon,1
2101617,Ripon,1
2101618,Ripon,1
2101619,Ripon,1
2101620,Ripon,1
2101621,Ripon,1
2101701,Ripon,1
2101702,Ripon,1
2101703,Ripon,1
2101704,Ripon,1
2101705,Ripon,1
2101706,Ripon,1
2101707,Ripon,1
2101708,Ripon,1
2101709,Ripon,1
2101710,Ripon,1
2101711,Bendigo West,0.1169
2101711,Ripon,0.8831
2101712,Ripon,1
2101713,Ripon,1
2101714,Ripon,1
2101715,Ripon,1
2101801,Bendigo West,1
2101802,Bendigo East,1
2101803,Bendigo East,0.4356
2101803,Bendigo West,0.5644
2101804,Bendigo East,1
2101805,Bendigo East,0.924
2101805,Bendigo West,0.076
2101806,Bendigo West,1
2101807,Bendigo West,1
2101808,Bendigo West,1
2101809,Bendigo West,1
2101810,Bendigo West,1
2101811,Bendigo West,1
2101812,Bendigo West,1
2101813,Bendigo East,0.0296
2101813,Bendigo West,0.9704
2101814,Bendigo West,1
2101815,Bendigo West,1
2101816,Bendigo West,1
2101817,Bendigo West,1
2101818,Bendigo West,1
2101819,Bendigo West,1
2101820,Bendigo West,1
2101821,Bendigo West,1
2101822,Bendigo West,1
2101823,Bendigo West,1
2101824,Bendigo West,1
2101825,Bendigo West,1
2101826,Bendigo West,1
2101827,Bendigo West,1
2101828,Bendigo West,1
2101829,Bendigo West,1
2101830,Bendigo West,1
2101831,Bendigo West,1
2101832,Bendigo West,1
2101833,Bendigo West,1
2101834,Bendigo East,1
2101835,Bendigo West,1
2101836,Bendigo West,1
2101837,Bendigo East,1
2101838,Bendigo West,1
2101901,Bendigo West,1
2101902,Bendigo East,1
2101903,Bendigo East,1
2101904,Bendigo East,1
2101905,Bendigo East,1
2101906,Bendigo East,1
2101907,Bendigo East,1
2101908,Bendigo East,1
2101909,Bendigo East,1
2101910,Bendigo East,1
2101911,Bendigo East,1
2101912,Bendigo East,1
2101913,Bendigo West,1
2101914,Bendigo East,0.9735
2101914,Bendigo West,0.0265
2101915,Bendigo West,1
2101916,Bendigo West,1
2101917,Bendigo East,0.0285
2101917,Bendigo West,0.9715
2101918,Bendigo East,1
2101919,Bendigo East,0.8642
2101919,Bendigo West,0.1358
2101920,Bendigo East,1
2101921,Bendigo East,1
2101922,Bendigo West,1
2101923,Bendigo West,1
2101924,Bendigo East,1
2102001,Bendigo East,1
2102002,Bendigo East,1
2102003,Bendigo East,1
2102004,Bendigo East,1
2102005,Bendigo East,1
2102006,Bendigo East,1
2102007,Bendigo East,1
2102008,Bendigo East,1
2102009,Bendigo East,1
2102010,Bendigo East,1
2102011,Bendigo East,1
2102012,Bendigo East,1
2102013,Bendigo East,1
2102014,Bendigo East,1
2102015,Bendigo East,1
2102016,Bendigo East,1
2102017,Bendigo East,1
2102018,Bendigo East,1
2102019,Bendigo East,1
2102020,Bendigo East,1
2102021,Bendigo East,1
2102022,Bendigo East,1
2102023,Bendigo East,1
2102024,Bendigo East,1
2102025,Bendigo East,1
2102026,Bendigo East,1
2102027,Bendigo East,1
2102028,Bendigo East,1
2102029,Bendigo East,1
2102030,Bendigo East,1
2102031,Bendigo East,1
2102032,Bendigo East,1
2102033,Bendigo East,1
2102034,Bendigo East,1
2102035,Bendigo East,1
2102036,Bendigo East,1
2102037,Bendigo East,1
2102038,Bendigo East,1
2102039,Bendigo East,1
2102101,Bendigo East,1
2102102,Bendigo East,1
2102103,Bendigo East,1
2102104,Bendigo East,1
2102105,Bendigo East,1
2102106,Bendigo East,1
2102107,Bendigo East,1
2102108,Bendigo East,1
2102109,Bendigo East,1
2102110,Bendigo East,1
2102111,Bendigo East,1
2102112,Bendigo East,1
2102113,Bendigo East,1
2102114,Bendigo East,1
2102115,Bendigo East,1
2102116,Bendigo East,1
2102117,Bendigo East,1
2102118,Bendigo East,1
2102119,Bendigo East,1
2102120,Bendigo East,1
2102121,Bendigo East,1
2102122,Bendigo East,1
2102123,Bendigo East,1
2102124,Bendigo East,1
2102125,Bendigo East,1
2102126,Bendigo East,1
2102127,Bendigo East,1
2102201,Bendigo West,1
2102202,Bendigo West,1
2102203,Bendigo West,1
2102204,Bendigo East,0.3117
2102204,Bendigo West,0.6883
2102205,Bendigo West,1
2102206,Bendigo West,1
2102208,Bendigo West,1
2102209,Bendigo West,1
2102210,Bendigo West,1
2102211,Bendigo East,0.0915
2102211,Bendigo West,0.9085
2102212,Bendigo West,1
2102213,Bendigo West,1
2102214,Bendigo West,1
2102215,Bendigo West,1
2102216,Bendigo West,1
2102217,Bendigo West,1
2102218,Bendigo West,1
2102219,Bendigo East,0.059
2102219,Bendigo West,0.941
2102220,Bendigo East,0.029
2102220,Bendigo West,0.971
2102221,Bendigo West,1
2102222,Bendigo West,1
2102223,Bendigo West,1
2102224,Bendigo West,1
2102225,Bendigo West,1
2102226,Bendigo West,1
2102227,Bendigo West,1
2102228,Bendigo West,1
2102229,Bendigo West,1
2102230,Bendigo West,1
2102231,Bendigo West,1
2102232,Bendigo West,1
2102233,Bendigo West,1
2102234,Bendigo East,1
2102235,Bendigo East,1
2102236,Bendigo West,1
2102237,Bendigo West,1
2102238,Bendigo West,1
2102239,Bendigo West,1
2102240,Bendigo East,1
2102241,Bendigo East,1
2102242,Bendigo West,1
2102243,Bendigo West,1
2102244,Bendigo West,1
2102245,Bendigo West,1
2102301,Bendigo West,1
2102302,Bendigo West,1
2102305,Bendigo West,1
2102306,Bendigo West,1
2102307,Bendigo West,1
2102308,Bendigo West,1
2102309,Bendigo West,1
2102310,Bendigo West,1
2102311,Bendigo West,1
2102312,Bendigo West,1
2102401,Bendigo East,1
2102402,Bendigo East,1
2102403,Bendigo East,1
2102405,Bendigo East,1
2102407,Bendigo East,1
2102408,Bendigo East,1
2102409,Bendigo East,1
2102410,Bendigo East,1
2102411,Bendigo East,1
2102412,Bendigo East,1
2102413,Bendigo East,1
2102414,Bendigo East,1
2102415,Bendigo East,1
2102417,Bendigo East,1
2102418,Bendigo East,1
2102419,Bendigo East,1
2102420,Bendigo East,1
2102421,Bendigo East,1
2102422,Bendigo East,1
2102501,Bendigo East,1
2102502,Bendigo East,1
2102503,Bendigo East,1
2102504,Bendigo East,1
2102505,Bendigo East,1
2102506,Bendigo East,1
2102507,Bendigo East,1
2102509,Bendigo East,1
2102510,Bendigo East,1
2102511,Bendigo East,1
2102512,Bendigo East,1
2102513,Bendigo East,1
2102514,Bendigo East,1
2102515,Bendigo East,1
2102516,Bendigo East,1
2102517,Bendigo East,1
2102518,Bendigo East,1
2102519,Bendigo East,1
2102520,Bendigo East,1
2102521,Bendigo East,1
2102522,Bendigo East,1
2102523,Bendigo East,1
2102601,Bendigo East,1
2102602,Bendigo East,1
2102603,Bendigo East,1
2102604,Bendigo East,0.275
2102604,Bendigo West,0.725
2102605,Bendigo East,1
2102606,Bendigo West,0.6128
2102606,Ripon,0.3872
2102607,Bendigo West,1
2102608,Bendigo West,1
2102609,Bendigo West,1
2102610,Bendigo West,1
2102611,Bendigo West,1
2102612,Bendigo West,1
2102613,Bendigo West,1
2102614,Bendigo East,1
2102615,Bendigo West,1
2102616,Bendigo East,1
2102617,Bendigo East,0.5228
2102617,Euroa,0.3179
2102617,Macedon,0.1593
2102618,Bendigo East,0.9616
2102618,Euroa,0.0384
2102619,Bendigo East,1
2102701,Bendigo West,1
2102702,Bendigo West,1
2102703,Bendigo West,1
2102704,Bendigo West,1
2102705,Bendigo West,1
2102706,Bendigo West,1
2102707,Bendigo West,1
2102708,Bendigo West,1
2102709,Bendigo West,1
2102710,Bendigo West,1
2102711,Bendigo West,1
2102712,Bendigo West,1
2102713,Bendigo West,1
2102714,Bendigo West,1
2102715,Bendigo West,1
2102716,Bendigo West,1
2102717,Bendigo West,1
2102718,Bendigo West,1
2102719,Bendigo West,1
2102720,Bendigo West,1
2102721,Bendigo West,1
2102722,Bendigo West,1
2102723,Bendigo West,1
2102724,Bendigo West,1
2102725,Bendigo West,1
2102726,Bendigo West,1
2102727,Bendigo West,1
2102801,Bendigo West,1
2102802,Bendigo West,1
2102803,Bendigo West,1
2102804,Bendigo West,1
2102805,Macedon,1
2102806,Euroa,0.3238
2102806,Macedon,0.6762
2102807,Bendigo East,0.4461
2102807,Bendigo West,0.5539
2102808,Bendigo West,1
2102809,Bendigo West,1
2102810,Bendigo West,1
2102811,Bendigo West,0.8313
2102811,Ripon,0.1687
2102812,Bendigo West,0.817
2102812,Ripon,0.183
2102813,Bendigo West,1
2102814,Macedon,1
2102815,Macedon,1
2102816,Macedon,1
2102817,Bendigo West,1
2102818,Bendigo West,1
2102819,Bendigo West,1
2102820,Bendigo West,1
2102821,Bendigo West,1
2102822,Bendigo West,1
2102823,Macedon,1
2102824,Bendigo West,1
2102825,Bendigo West,1
2102826,Bendigo West,1
2102901,Euroa,1
2102902,Euroa,1
2102903,Bendigo East,1
2102904,Euroa,1
2102905,Euroa,1
2102906,Euroa,1
2102907,Euroa,1
2102908,Euroa,1
2102909,Euroa,1
2102910,Euroa,1
2102911,Bendigo East,0.3954
2102911,Euroa,0.6046
2102912,Euroa,1
2102913,Euroa,1
2103001,Macedon,1
2103002,Macedon,1
2103003,Macedon,1
2103004,Macedon,1
2103005,Macedon,1
2103006,Macedon,1
