SA1_CODE21,Electorate,proportion
10103101511,Eden-Monaro,1
10103101512,Eden-Monaro,1
10103101514,Eden-Monaro,1
10103101515,Eden-Monaro,1
10103101516,Eden-Monaro,1
10103101517,Eden-Monaro,1
10103101518,Eden-Monaro,1
10103101519,Eden-Monaro,1
10103101520,Eden-Monaro,1
10103101521,Eden-Monaro,1
10103101523,Eden-Monaro,1
10103101524,Eden-Monaro,1
10103101525,Eden-Monaro,1
10103101526,Eden-Monaro,1
10103101601,Eden-Monaro,1
10103101602,Eden-Monaro,1
10103101603,Eden-Monaro,1
10103101604,Eden-Monaro,1
10103101605,Eden-Monaro,1
10103101606,Eden-Monaro,1
10103101607,Eden-Monaro,1
10103101608,Eden-Monaro,1
10103101611,Eden-Monaro,1
10103101612,Eden-Monaro,1
10103101614,Eden-Monaro,1
10103101615,Eden-Monaro,1
10103101616,Eden-Monaro,1
10103101617,Eden-Monaro,1
10103101619,Eden-Monaro,1
10103101620,Eden-Monaro,1
10103101621,Eden-Monaro,1
10103101622,Eden-Monaro,1
10103101623,Eden-Monaro,1
10103101624,Eden-Monaro,1
10103101625,Eden-Monaro,1
10103101626,Eden-Monaro,1
10103101627,Eden-Monaro,1
10104101701,Gilmore,1
10104101702,Gilmore,1
10104101703,Gilmore,1
10104101704,Gilmore,1
10104101705,Gilmore,1
10104101706,Gilmore,1
10104101707,Gilmore,1
10104101708,Gilmore,1
10104101709,Gilmore,1
10104101710,Gilmore,1
10104101711,Gilmore,1
10104101713,Gilmore,1
10104101714,Gilmore,1
10104101715,Gilmore,1
10104101716,Gilmore,1
10104101717,Gilmore,1
10104101718,Gilmore,1
10104101719,Gilmore,1
10104101720,Gilmore,1
10104101721,Gilmore,1
10104101722,Gilmore,1
10104101723,Gilmore,1
10104101724,Gilmore,1
10104101801,Gilmore,1
10104101802,Gilmore,1
10104101803,Gilmore,1
10104101804,Gilmore,1
10104101805,Gilmore,1
10104101806,Gilmore,1
10104101807,Gilmore,1
10104101808,Gilmore,1
10104101809,Gilmore,1
10104101810,Gilmore,1
10104101811,Gilmore,1
10104101812,Gilmore,1
10104101813,Gilmore,1
10104101814,Gilmore,1
10104101815,Gilmore,1
10104101816,Gilmore,1
10104101817,Gilmore,1
10104101818,Gilmore,1
10104101819,Gilmore,1
10104101820,Gilmore,1
10104101821,Gilmore,1
10104101822,Gilmore,1
10104101823,Gilmore,1
10104101824,Gilmore,1
10104101901,Eden-Monaro,1
10104101902,Eden-Monaro,1
10104101903,Eden-Monaro,1
10104101904,Eden-Monaro,1
10104101905,Eden-Monaro,1
10104101906,Eden-Monaro,1
10104101907,Eden-Monaro,1
